Date,Price_inter
2018-08-19,11.404545454545454
2018-08-20,11.40090909090909
2018-08-21,11.397272727272727
2018-08-22,11.393636363636364
2018-08-23,11.39
2018-08-24,11.386363636363637
2018-08-25,11.382727272727273
2018-08-26,11.379090909090909
2018-08-27,11.375454545454545
2018-08-28,11.371818181818181
2018-08-29,11.368181818181817
2018-08-30,11.364545454545455
2018-08-31,11.360909090909091
2018-09-01,11.357272727272727
2018-09-02,11.353636363636364
2018-09-03,11.35
2018-09-04,11.336785714285714
2018-09-05,11.323571428571428
2018-09-06,11.310357142857143
2018-09-07,11.297142857142857
2018-09-08,11.283928571428572
2018-09-09,11.270714285714286
2018-09-10,11.2575
2018-09-11,11.244285714285715
2018-09-12,11.231071428571429
2018-09-13,11.217857142857143
2018-09-14,11.204642857142858
